-bash-4.2$ /scratch/repo/libPSI/bin/frontend.exe -cuckoo  -h 2 -x 72 -nn 6 -nnEnd 22  -e 2.4  -eStep 0.1 -eEnd 5 -t 24
#threads=72  trials=24 n=64 nEnd=4194304
e=2.400   |set|=64  |cuckoo|=153  5.036  8.623  12.106  15.586  19.142  24.000
e=2.500   |set|=64  |cuckoo|=160  5.533  9.429  13.175  16.978  20.678
e=2.600   |set|=64  |cuckoo|=166  5.929  10.081  14.077  18.093  23.000
e=2.700   |set|=64  |cuckoo|=172  6.303  10.694  14.803  18.871  24.000
e=2.800   |set|=64  |cuckoo|=179  6.717  11.377  15.786  20.093
e=2.900   |set|=64  |cuckoo|=185  7.053  11.956  16.574  20.830
e=3.000   |set|=64  |cuckoo|=192  7.413  12.566  17.733  23.000
e=3.100   |set|=64  |cuckoo|=198  7.710  13.101  18.167  22.000
e=3.200   |set|=64  |cuckoo|=204  7.990  13.580  18.871  22.415
e=3.300   |set|=64  |cuckoo|=211  8.309  14.136  19.830  24.000
e=3.400   |set|=64  |cuckoo|=217  8.556  14.555  20.300                                 00
e=3.500   |set|=64  |cuckoo|=224  8.825  14.983  20.830  24.000
e=3.600   |set|=64  |cuckoo|=230  9.063  15.442  22.000                                 00
e=3.700   |set|=64  |cuckoo|=236  9.278  15.918  22.415                                 00
e=3.800   |set|=64  |cuckoo|=243  9.533  16.438  23.000                                 00
e=3.900   |set|=64  |cuckoo|=249  9.726  16.461                                 00  >24.000
e=4.000   |set|=64  |cuckoo|=256  9.949  16.830  22.415  24.000
e=4.100   |set|=64  |cuckoo|=262  10.132  17.272  23.000                                 00
e=4.200   |set|=64  |cuckoo|=268  10.309  17.752                                 00  >24.000
e=4.300   |set|=64  |cuckoo|=275  10.518  18.142  23.000                                 00
e=4.400   |set|=64  |cuckoo|=281  10.680  18.272                                 00  >24.000
e=4.500   |set|=64  |cuckoo|=287  10.861  18.678                                 00  >24.000
e=4.600   |set|=64  |cuckoo|=294  11.029  18.830                                 00  >24.000
e=4.700   |set|=64  |cuckoo|=300  11.180  19.415                                 00  >24.000
e=4.800   |set|=64  |cuckoo|=307  11.329  19.000                                 00  >24.000
e=4.900   |set|=64  |cuckoo|=313  11.441  19.913                                 00  >24.000
e=5.000   |set|=64  |cuckoo|=319  11.610  19.541                                 00  >24.000
e=2.400   |set|=256  |cuckoo|=614  5.750  9.501  12.949  16.245  19.541  23.000
e=2.500   |set|=256  |cuckoo|=640  6.383  10.564  14.270  17.978  22.415
